REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
3955,3220,2004,IOWA,IA,CRAWFORD,19047,7242
2292,340,2020,NEBRASKA,NE,SHERIDAN,31161,2672
31701,10504,2000,TEXAS,TX,TAYLOR,48441,43020
87250,85446,2000,MINNESOTA,MN,DAKOTA,27037,182249
9344,27072,2012,MASSACHUSETTS,MA,FRANKLIN,25011,37758
7025,5760,2016,VIRGINIA,VA,FLUVANNA,51065,13597
94641,58523,2004,IDAHO,ID,ADA,16001,155002
6391,909,2016,TEXAS,TX,LEON,48289,7439
269,724,2000,NORTH DAKOTA,ND,SIOUX,38085,1041
45021,41886,2008,FLORIDA,FL,HERNANDO,12053,87901
4434,2447,2016,ILLINOIS,IL,CARROLL,17015,7445
1132,281,2000,KANSAS,KS,SHERIDAN,20179,1489
4507,5275,2004,VIRGINIA,VA,BUCHANAN,51027,9829
3439,5816,2008,SOUTH CAROLINA,SC,HAMPTON,45049,9350
13583,5767,2004,NORTH CAROLINA,NC,STOKES,37169,19414
316633,319387,2004,MICHIGAN,MI,OAKLAND,26125,641977
8219,1959,2016,KENTUCKY,KY,GRAYSON,21085,10576
5041,1725,2020,OHIO,OH,MORGAN,39115,6847
742,162,2012,NORTH DAKOTA,ND,GOLDEN VALLEY,38033,928
2543,1769,2000,ARIZONA,AZ,LA PAZ,4012,4483
2118,2022,2000,KENTUCKY,KY,LIVINGSTON,21139,4230
6749,6636,2004,KENTUCKY,KY,MUHLENBERG,21177,13479
4985,3156,2000,MISSOURI,MO,VERNON,29217,8408
407,38,2020,NEBRASKA,NE,LOGAN,31113,450
8657,5226,2000,TENNESSEE,TN,JEFFERSON,47089,14087
3293,1121,2016,SOUTH DAKOTA,SD,CUSTER,46033,4721
6173,3943,2016,IOWA,IA,WASHINGTON,19183,10929
6786,3342,2016,ARKANSAS,AR,CARROLL,5015,10758
6484,675,2020,ALABAMA,AL,CLEBURNE,1029,7227
3131,5556,2008,COLORADO,CO,GUNNISON,8051,8870
2066,749,2020,GEORGIA,GA,MILLER,13201,2835
38815,29833,2016,NORTH CAROLINA,NC,ALAMANCE,37001,71157
9553,3273,2012,OKLAHOMA,OK,LINCOLN,40081,12826
30345,36367,2008,WISCONSIN,WI,MARATHON,55073,67940
4331,2050,2012,ALABAMA,AL,CRENSHAW,1041,6418
2998,951,2000,KANSAS,KS,CLAY,20027,4088
3791,1493,2008,KANSAS,KS,SEWARD,20175,5336
16480,4380,2020,OHIO,OH,BROWN,39015,21096
12995,6243,2016,WISCONSIN,WI,MARINETTE,55075,20046
60218,36456,2020,MARYLAND,MD,CARROLL,24013,100327
1486,206,2020,TEXAS,TX,HEMPHILL,48211,1720
9534,8330,2012,MICHIGAN,MI,DELTA,26041,18050
4945,2206,2020,IOWA,IA,GRUNDY,19075,7276
